標準,Unicode,IVS,目標CID,字圖名称,重複字圖名称,IVD集,默認字圖,新字圖？,註釋
䶹,4DB9,/,15885,uni4DB9-CL,uni5C6E-JP,/,All,N,
𡐨,21428,/,13899,u21428-CL,uni58C4-JP,/,All,N,
𣽽,23F7D,/,24377,u23F7D-CL,uni6F78-CN,/,All,N,
𦤶,26936,/,33306,u26936-CL,uni81F4uE0102-JP,/,All,Y,
𨺓,28E93,/,43226,u28E93-CL,uni9686-JP,/,All,N,
𪳝,2ACDD,/,21946,u2ACCD-CL,uni69F1-JP,/,All,N,
𫜸,2B738,/,62152,u2B738-CL,uni53F1uE0101-JP,/,All,N,Unicode 14.0 (Ext-C)
𫜹,2B739,/,17290,u2B739-CL,uni5F50-CN,/,All,N,Unicode 15.0 (Ext-C)
𩑠,29460,/,43998,u29460-CL,uni9819-JP,/,All,N,
𱍐,31350,E0100,62564,u31350-JP,uni793AuE0100-JP,Adobe-Japan1,All,N,Adobe-Japan1 Update/Unicode 15.0 (Ext-H)
